rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
41,Infobells - Hindi,53300000,30516172739,Education,Infobells - Hindi,577,India,IN,Education,37,16,4,815949000,204000,3300000,2400000,39200000,1600000,2014,Jun,6,28.1,1366417754,5.36,471031528,20.593684,78.96288
42,Taylor Swift,52900000,29884657286,Music,Taylor Swift,216,United States,US,Music,40,13,19,528392000,132100,2100000,1600000,25400000,800000,2006,Sep,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
43,Ariana Grande,52700000,24004842608,Music,Ariana Grande,147,United States,US,Music,78,14,20,160216000,40100,640900,480600,7700000,100000,2007,Jan,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & Cart�,847,United States,US,Education,450,15,5,266747000,66700,1100000,800200,12800000,600000,2013,Oct,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
45,JuegaGerman,48100000,14631710289,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1,2,66388000,16600,265600,199200,3200000,200000,2013,May,19,88.5,18952038,7.09,16610135,-35.675147,-71.542969
46,Billie Eilish,47900000,13626331061,Music,Billie Eilish,65,United States,US,Music,263,16,21,146862000,36700,587400,440600,7000000,200000,2013,Feb,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
47,Get Movies,47500000,30788679536,Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600,1200000,919600,14700000,700000,2006,Dec,16,81.9,144373535,4.59,107683889,61.52401,105.318756
48,Shemaroo,47400000,22519705183,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17,10,232744000,58200,931000,698200,11200000,500000,2007,Sep,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
49,Badabun,46800000,19398045702,Entertainment,badabun,1,nan,nan,Music,4047729,nan,5525,440,0.11,2,1,21,75,2007,Jul,21,nan,nan,nan,nan,nan,nan
50,SonyMusicIndiaVEVO,46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55,17,22,314505000,78600,1300000,943500,15100000,400000,2009,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
51,A4,46300000,22936630813,Gaming,aefour,1,Cuba,CU,People,4053056,99,5359,94,0.02,0.38,0.28,5,10,2006,Mar,11,41.4,11333483,1.64,8739135,21.521757,-77.781167
52,Bad Bunny,46100000,30686342319,Music,badbunny,1,nan,nan,Sports,4046070,nan,4501,1,0,0,0,0.05,nan,2005,Nov,15,nan,nan,nan,nan,nan,nan
53,Fernanfloo,46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1,3,33842000,8500,135400,101500,1600000,200000,2011,May,2,29.4,6453553,4.11,4694702,13.794185,-88.89653
54,Voot Kids,45500000,21388725229,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18,13,233988000,58500,936000,702000,11200000,400000,2016,Nov,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
55,Felipe Neto,45200000,16602198273,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600,521400,391100,6300000,200000,2006,May,16,51.3,212559417,12.08,183241641,-14.235004,-51.92528
56,Voc���,44700000,7828610828,Entertainment,Voc���,1558,Brazil,BR,Entertainment,681,3,15,48032000,12000,192100,144100,2300000,100000,2013,Sep,1,51.3,212559417,12.08,183241641,-14.235004,-51.92528
57,HAR PAL GEO,44600000,41139050371,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20,1,15,1337000000,334300,5300000,4000000,64200000,1300000,2008,Jan,2,9,216565318,4.45,79927762,30.375321,69.345116
58,BRIGHT SIDE,44500000,10708531817,Howto & Style,brightside,0,nan,nan,nan,4057944,nan,nan,nan,0,0,0,0,1,2005,Nov,18,nan,nan,nan,nan,nan,nan
59,Katy Perry,44200000,25458952022,Music,Katy Perry,128,United States,US,Music,70,19,24,134242000,33600,537000,402700,6400000,100000,2008,Jun,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
60,whinderssonnunes,44200000,4274709210,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741,4,1,26683000,6700,106700,80100,1300000,nan,2013,Jan,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528
61,ABS-CBN Entertainment,44200000,50292540392,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16,1,16,176629000,44200,706500,529900,8500000,300000,2008,Jul,16,35.5,108116615,2.15,50975903,12.879721,121.774017
62,Alan Walker,43700000,12884264778,Music,alanwalker,8,Thailand,TH,Film,4056116,4026,5270,22,0.01,0.09,0.07,1,nan,2006,May,12,49.3,69625582,0.75,35294600,15.870032,100.992541
63,HolaSoyGerman.,43600000,4831311245,Entertainment,holasoygerman. 2,6,nan,nan,People,4047806,nan,7716,4,0,0.02,0.01,0.19,nan,2016,May,27,nan,nan,nan,nan,nan,nan
64,Shakira,43500000,27568757295,People & Blogs,Shakira,326,Colombia,CO,Howto,52,1,3,353412000,88400,1400000,1100000,17000000,500000,2005,Oct,16,55.3,50339443,9.71,40827302,4.570868,-74.297333
65,�������� �� ��������������,43200000,36458726976,Film & Animation,�������� �� ��������������,1478,Russia,RU,Education,26,2,6,303780000,75900,1200000,911300,14600000,300000,2011,May,31,81.9,144373535,4.59,107683889,61.52401,105.318756
66,ARY Digital HD,43200000,37939780685,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24,2,18,1149000000,287300,4600000,3400000,55200000,900000,2016,Jul,11,9,216565318,4.45,79927762,30.375321,69.345116
67,Speed Records,42500000,26820902622,Music,Speed Records,10938,India,IN,Music,62,19,26,159757000,39900,639000,479300,7700000,100000,2012,Nov,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
68,Masha and The Bear,42400000,24519022988,Shows,Masha and The Bear,1218,United States,US,Film,74,20,5,670459000,167600,2700000,2000000,32200000,1000000,2014,Sep,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
69,Like Nastya Show,42400000,19547696190,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128,21,19,53202000,13300,212800,159600,2600000,nan,2017,Nov,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
70,Rihanna,41900000,22477745835,Entertainment,Rihanna,84,Barbados,BB,Music,98,1,27,182926000,45700,731700,548800,8800000,100000,2005,Nov,6,65.4,287025,10.33,89431,13.193887,-59.543198
71,Ishtar Music,41400000,17608931161,Trailers,Ishtar Music,4510,India,IN,Music,155,20,28,180942000,45200,723800,542800,8700000,400000,2005,Sep,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
72,Kimberly Loaiza,41300000,5603111948,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157,2,1,136745000,34200,547000,410200,6600000,400000,2016,Nov,16,40.2,126014024,3.42,102626859,23.634501,-102.552784
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22,22,7,98775000,24700,395100,296300,4700000,100000,2011,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
74,Luisito Comunica,40600000,8670473639,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215,3021,nan,nan,0,0,0,0,nan,2010,Jun,18,40.2,126014024,3.42,102626859,23.634501,-102.552784
75,elrubiusOMG,40400000,7410536668,Gaming,elrubiusOMG,703,nan,nan,Entertainment,756,nan,21,5773000,1400,23100,17300,277100,nan,2011,Dec,20,nan,nan,nan,nan,nan,nan
76,Toys and Colors,40300000,47005053156,Entertainment,Toys and colors,4,nan,nan,People,3989650,nan,7330,5,0,0.02,0.02,0.24,nan,2018,Jun,14,nan,nan,nan,nan,nan,nan
77,shfa2 - ��,39700000,23884824160,People & Blogs,shfa2 - ��,1596,United Arab Emirates,AE,People,81,1,2,247731000,61900,990900,743200,11900000,300000,2017,Nov,6,36.8,9770529,2.35,8479744,23.424076,53.847818
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,nan,nan,Games,4057895,nan,7498,2,0,0.01,0.01,0.1,nan,2021,Mar,25,nan,nan,nan,nan,nan,nan
79,CarryMinati,39200000,3294013141,Comedy,CarryMinati,186,India,IN,Comedy,2487,21,2,78688000,19700,314800,236100,3800000,700000,2014,Oct,30,28.1,1366417754,5.36,471031528,20.593684,78.96288
80,XXXTENTACION,39200000,10507474316,Music,XXXTENTACION,133,United States,US,Music,403,24,29,58362000,14600,233400,175100,2800000,100000,2015,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,39200000,44900897958,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,560756000,140200,2200000,1700000,26900000,400000,2006,Sep,8,68.9,36991981,5.56,30628482,56.130366,-106.346771
82,Mikecrack,39100000,16118181673,Gaming,Mikecrack,1876,Spain,ES,Games,188,1,4,264108000,66000,1100000,792300,12700000,800000,2015,Jul,13,88.9,47076781,13.96,37927409,40.463667,-3.74922
83,WorkpointOfficial,39000000,36131228583,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27,1,24,130461000,32600,521800,391400,6300000,200000,2012,Nov,5,49.3,69625582,0.75,35294600,15.870032,100.992541
84,GR6 EXPLODE,38900000,25154232306,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73,6,30,1635000000,408700,6500000,4900000,78500000,100000,2014,Aug,5,51.3,212559417,12.08,183241641,-14.235004,-51.92528
85,TEDx Talks,38600000,7339333120,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768,25,1,45638000,11400,182600,136900,2200000,100000,2009,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
86,shfa,38400000,21528116909,People & Blogs,���������� ������,982,Saudi Arabia,SA,Games,150882,774,1454,1589000,397,6400,4800,76300,2000,2018,May,24,68,34268528,5.93,28807838,23.885942,45.079162
87,Goldmines Gaane Sune Ansune,38300000,16718192386,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170,22,31,814756000,203700,3300000,2400000,39100000,400000,2015,Aug,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
88,One Direction,38200000,13598903820,Music,21 Savage,11,United States,US,Music,539848,2904,2594,6348,2,25,19,305,100,2016,Jun,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
89,TheEllenShow,38200000,22756581750,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93,26,26,21804000,5500,87200,65400,1000000,nan,2006,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
90,Sony PAL,38200000,28519339489,Shows,Sony PAL,24089,India,IN,Entertainment,49,23,25,415914000,104000,1700000,1200000,20000000,500000,2014,May,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
91,Daddy Yankee,38000000,22731415608,Music,Daddy Yankee,505,United States,US,Music,92,27,33,205594000,51400,822400,616800,9900000,100000,2011,May,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
92,Vlad v���,37900000,23510152352,nan,Vlad v���,515,United States,US,Entertainment,84,28,27,244093000,61000,976400,732300,11700000,200000,2018,Jul,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
93,Like Nastya ESP,37600000,18208196857,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29,28,321026000,80300,1300000,963100,15400000,700000,2017,Apr,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
94,������������ one31,37500000,27262462114,Entertainment,������������ one31,117152,Thailand,TH,Entertainment,56,2,29,140754000,35200,563000,422300,6800000,300000,2013,Jan,10,49.3,69625582,0.75,35294600,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717,Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24,3,49861000,12500,199400,149600,2400000,100000,2017,Mar,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
96,ABP NEWS,37000000,13102611515,People & Blogs,ABP NEWS,301308,India,IN,News,280,25,2,267060000,66800,1100000,801200,12800000,400000,2012,Jun,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
97,Maria Clara & JP,37000000,24188861917,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7,30,251449000,62900,1000000,754300,12100000,300000,2015,Sep,6,51.3,212559417,12.08,183241641,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425,Music,Bruno Mars,99,United States,US,Music,134,30,34,175243000,43800,701000,525700,8400000,200000,2006,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
99,Maroon 5,36600000,22553923546,Music,Maroon 5,171,United States,US,Music,96,31,35,152825000,38200,611300,458500,7300000,nan,2006,Mar,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205,26,31,131462000,0,0,0,0,200000,2009,Oct,21,28.1,1366417754,5.36,471031528,20.593684,78.96288
101,PowerKids TV,36500000,18961241905,Film & Animation,PowerKids TV,5621,nan,nan,Film,139,1,6,318702000,79700,1300000,956100,15300000,600000,2014,Aug,6,nan,nan,nan,nan,nan,nan
102,YouTube,36300000,3010784935,News & Politics,YouTube,744,United States,US,Entertainment,2860,32,5,21103000,5300,84400,63300,1000000,300000,1970,Jan,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
103,News,36300000,0,nan,News,0,nan,nan,nan,4057944,nan,nan,nan,0,0,0,0,nan,2013,Sep,9,nan,nan,nan,nan,nan,nan
104,Ozuna,36200000,23355801606,Music,Ozuna,196,nan,nan,Music,87,2,36,169242000,42300,677000,507700,8100000,100000,2016,Mar,24,nan,nan,nan,nan,nan,nan
105,MrBeast Gaming,36100000,6331332547,Gaming,MrBeastGaming,5,nan,nan,Comedy,4057305,nan,4880,32,0.01,0.13,0.1,2,1,2011,Feb,26,nan,nan,nan,nan,nan,nan
106,La Granja de Zen�,35700000,27118354077,Music,La Granja de Zen�,654,Argentina,AR,Music,58,2,37,302071000,75500,1200000,906200,14500000,400000,2013,Jun,6,90,44938712,9.79,41339571,-38.416097,-63.616672
107,Saregama Music,35500000,15657673422,Entertainment,Saregama Music,7566,India,IN,Music,199,27,38,533793000,133400,2100000,1600000,25600000,900000,2013,Jan,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
108,IndiaTV,35500000,16105023749,News & Politics,IndiaTV,273255,India,IN,News,185,27,3,290847000,72700,1200000,872500,14000000,600000,2006,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
109,T-Series Bollywood Classics,35400000,22637783517,Music,T-Series Bollywood Classics,2010,India,IN,Music,94,28,39,331474000,82900,1300000,994400,15900000,500000,2012,Apr,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
110,Total Gaming,35400000,5556364230,Gaming,totalgaming,1,nan,nan,Autos,4056447,nan,3902,53,0.01,0.21,0.16,3,2,2006,Jul,15,nan,nan,nan,nan,nan,nan
111,Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119,34,8,127329000,31800,509300,382000,6100000,100000,2012,May,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
112,Ryan's World,35200000,55299840198,Entertainment,Ryan's World,2453,United States,US,Entertainment,15,35,32,238613000,59700,954500,715800,11500000,200000,2015,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,Genevieve's Playhouse - Learning Videos for �,617,United States,US,Film,69,36,7,335307000,83800,1300000,1000000,16100000,300000,2016,Jan,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
114,T-Series Apna Punjab,34600000,21306315429,Music,T- Series Apna Punjab,0,nan,nan,News,4057944,nan,4653,nan,0,0,0,0,nan,2020,Jul,9,nan,nan,nan,nan,nan,nan
115,Techno Gamerz,34400000,9690499664,Gaming,TechnoGamerz,1,nan,nan,Games,4057311,nan,7489,86,0.02,0.34,0.26,4,3,2010,May,19,nan,nan,nan,nan,nan,nan
116,Geet MP3,34300000,12746535822,Music,Geet MP3,679,India,IN,Music,299,31,41,101357000,25300,405400,304100,4900000,100000,2016,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
117,J Balvin,34100000,23005313609,Music,J Balvin,141,Colombia,CO,Music,89,2,42,128696000,32200,514800,386100,6200000,100000,2011,Feb,18,55.3,50339443,9.71,40827302,4.570868,-74.297333
118,Jess No Limit,34000000,3963007415,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882,1,33,547141000,136800,2200000,1600000,26300000,5500000,2017,Sep,7,36.3,270203917,4.69,151509724,-0.789275,113.921327
119,Jingle Toons,34000000,11351015824,Film & Animation,Jingle Toons,240,India,IN,Film,360,32,8,179903000,45000,719600,539700,8600000,600000,2013,Jan,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
120,VEGETTA777,33800000,15432929204,Gaming,VEGETTA777,7606,Spain,ES,Games,211,2,10,39094000,9800,156400,117300,1900000,nan,2008,Mar,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
121,Galinha Pintadinha,33800000,27274550757,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54,8,9,403508000,100900,1600000,1200000,19400000,200000,2006,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
122,SSSniperWolf,33700000,23492684419,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83,37,35,210955000,52700,843800,632900,10100000,200000,2013,Jan,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
123,Desi Music Factory,33700000,10189027455,Music,Desi music factory,2,nan,nan,Music,4057699,nan,5775,nan,0,0,0,0,nan,2018,Apr,10,nan,nan,nan,nan,nan,nan
124,Selena Gomez,33600000,13013567335,Film & Animation,Selena Gomez,188,United States,US,Music,288,38,43,115792000,28900,463200,347400,5600000,200000,2008,Feb,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
125,Rajshri,33500000,14864294792,Music,Rajshri,3741,India,IN,Entertainment,222,34,36,272255000,68100,1100000,816800,13100000,500000,2006,Mar,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
126,Ch3Thailand,33500000,29611914495,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41,3,37,61307000,0,0,0,0,100000,2014,May,29,49.3,69625582,0.75,35294600,15.870032,100.992541
127,KHANDESHI MOVIES,33500000,11405809704,Comedy,KHANDESHI MOVIES,217,India,IN,Comedy,357,35,4,24736000,6200,98900,74200,1200000,100000,2013,Nov,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
